Dealer_ID,Dealer_State,Make,Vehicle Category,Vehicle Colour,Listing Month,Transmission Type,Fuel Type,Cylinders,Engine Size,CO2 Emissions
D022,VIC,LINCOLN,FULL-SIZE,White,Jul,AS6,X,6,2.7,281
D044,NSW,FORD,SUBCOMPACT,Blue,Dec,AS6,X,4,1.6,175
D001,WA,BMW,COMPACT,White,Oct,AS8,Z,6,3,230
D024,SA,HYUNDAI,COMPACT,Silver,Jul,AS6,X,4,1.6,172
D034,VIC,FORD,SUV - SMALL,Grey,Feb,A8,X,3,1.5,185
D035,VIC,DODGE,FULL-SIZE,Silver,Mar,A8,Z,8,6.25,302
D007,QLD,SUBARU,SUV - SMALL,White,Nov,AV6,X,4,2,173
D055,QLD,HONDA,COMPACT,White,Jul,M6,X,4,1.5,158
D040,QLD,MAZDA,COMPACT,,Aug,AS6,X,4,2,176
D018,NSW,MERCEDES-BENZ,COMPACT,Silver,Oct,A9,Z,6,3,244
D019,WA,CHRYSLER,MID-SIZE,Grey,Nov,A4,X,4,2.4,225
D049,QLD,LAND ROVER,SUV - STANDARD,Black,Oct,AS8,Z,6,3,311
D029,NSW,BMW,COMPACT,Silver,Mar,M6,Z,8,4.4,321
D032,TAS,TOYOTA,MID-SIZE,Grey,Apr,AV,X,4,1.8,168
D023,TAS,GMC,SUV - STANDARD,Silver,Nov,A6,X,8,5.3,305
D002,VIC,AUDI,COMPACT,White,May,AS6,Z,,2,236
D008,WA,RAM,PICKUP TRUCK - STANDARD,Red,Sep,A8,X,6,3.6,260
D010,Unknown,SUBARU,SUV - SMALL,Grey,Dec,AV6,X,4,2,193
D019,WA,TOYOTA,MID-SIZE,Silver,Oct,AV7,X,4,1.8,166
D030,QLD,HONDA,STATION WAGON - SMALL,Unknown,May,AV,X,4,1.8,180
D034,VIC,AUDI,SUBCOMPACT,White,May,M6,Z,4,2,209
D037,NSW,MITSUBISHI,COMPACT,Silver,Apr,AV6,X,4,2,181
D028,NSW,CHEVROLET,PICKUP TRUCK - SMALL,Brown,Aug,A6,D,4,2.8,283
D058,VIC,GMC,PICKUP TRUCK - STANDARD,Grey,Jul,A8,X,4,2.7,262
D003,WA,MITSUBISHI,SUV - SMALL,Grey,Jun,,X,4,2,216
D036,NSW,BMW,SUBCOMPACT,Black,Aug,AS8,Z,6,3,249
D022,VIC,PORSCHE,FULL-SIZE,White,Mar,AM8,Z,6,2.9,235
D036,NSW,JEEP,SUV - SMALL,White,Aug,AV,X,4,2,228
D031,QLD,AUDI,SUBCOMPACT,Silver,Mar,M6,Z,6,3,285
D019,WA,BMW,COMPACT,Grey,Nov,AS8,Z,4,2,200
D011,VIC,MINI,MINICOMPACT,White,May,M6,Z,4,1.6,179
D029,NSW,INFINITI,MID-SIZE,Orange,May,AS7,Z,6,3,254
D029,NSW,PORSCHE,MINICOMPACT,Black,Jun,M7,Z,6,3,246
D003,WA,PORSCHE,MINICOMPACT,White,Aug,AM7,Z,6,3,250
D019,WA,ACURA,SUV - SMALL,Unknown,Aug,AM7,Z,6,3,210
D030,QLD,VOLKSWAGEN,SUV - SMALL,Brown,Oct,AS6,Z,4,2,242
D046,WA,CHEVROLET,PICKUP TRUCK - SMALL,Yellow,Jun,A6,D,4,2.8,270
D021,QLD,JAGUAR,MID-SIZE,White,Apr,AS8,Z,8,5,304
D007,QLD,CHEVROLET,COMPACT,Red,Aug,AS6,X,4,1.4,184
D008,WA,MAZDA,SUV - SMALL,Green,Jun,AS6,X,4,2,196
D054,QLD,BMW,COMPACT,Black,Mar,AS8,Z,4,2,209
D015,VIC,FIAT,MINICOMPACT,Yellow,Sep,M5,X,,1.4,186
D020,QLD,FORD,SUV - SMALL,Grey,Jul,AS6,X,3,1,197
D026,NSW,BMW,SUBCOMPACT,Red,May,M6,Z,4,2,219
D037,NSW,MERCEDES-BENZ,SUV - STANDARD,Blue,Oct,AS7,D,6,3,322
D007,QLD,TOYOTA,PICKUP TRUCK - SMALL,White,Sep,AS6,X,6,3.5,283
D039,NSW,INFINITI,SUV - SMALL,Red,Oct,AV7,Z,6,3.5,246
D030,QLD,NISSAN,TWO-SEATER,Blue,Feb,M6,Z,6,3.7,279
D033,VIC,CADILLAC,SUV - STANDARD,Grey,Oct,AS6,X,6,7.92,294
D058,VIC,FIAT,MINICOMPACT,,May,A6,X,4,1.4,200
D027,VIC,MERCEDES-BENZ,MID-SIZE,White,Jun,AS7,Z,8,4.7,281
D053,WA,CHEVROLET,SUV - SMALL,Orange,Apr,AS6,X,4,1.4,210
D043,QLD,FORD,SUBCOMPACT,Black,Sep,M6,Z,8,5.8,304
D050,NSW,MERCEDES-BENZ,MID-SIZE,Black,Aug,A9,Z,6,3,246
D006,TAS,JAGUAR,MID-SIZE,Silver,Nov,AS8,E,8,5,290
D003,WA,DODGE,MID-SIZE,Grey,Nov,A8,Z,8,6.2,338
D017,VIC,BMW,COMPACT,Grey,Sep,M6,Z,6,3,273
D025,WA,GENESIS,FULL-SIZE,Red,Sep,AS8,Z,6,3.3,282
D007,QLD,BMW,TWO-SEATER,White,Jun,AM7,Z,6,3,282
D042,WA,MERCEDES-BENZ,FULL-SIZE,Black,Apr,A9,Z,8,4.7,280
D016,NSW,KIA,MID-SIZE,Blue,Apr,M6,X,4,2,195
D011,VIC,GMC,VAN - PASSENGER,,Apr,A4,X,8,5.3,380
D029,NSW,CHEVROLET,PICKUP TRUCK - STANDARD,Silver,Oct,A6,X,6,4.3,279
D047,VIC,KIA,STATION WAGON - SMALL,Black,Dec,AS6,X,4,1.6,205
D036,NSW,MINI,MINICOMPACT,Red,Sep,AS6,Z,4,1.6,186
D046,WA,CADILLAC,COMPACT,Grey,Oct,M6,Z,4,2,236
D039,NSW,SUBARU,SUV - SMALL,Black,Sep,AV6,X,4,2.5,196
D018,NSW,MASERATI,MID-SIZE,Black,May,AS8,Z,6,3,292
D039,NSW,MINI,TWO-SEATER,White,May,AS6,Z,4,1.6,175
D050,NSW,BMW,MID-SIZE,White,Jul,AS8,Z,6,3,238
D005,NSW,BMW,COMPACT,Yellow,Mar,AS8,Z,4,2,208
D050,NSW,CADILLAC,SUV - STANDARD,Silver,Nov,A6,Z,8,6.2,377
D025,WA,JEEP,SUV - SMALL,Grey,Oct,AV,X,4,2.4,259
D036,NSW,MINI,TWO-SEATER,White,Jan,,Z,4,1.6,179
D046,WA,BMW,SUV - STANDARD,Black,Apr,AS8,Z,6,3,245
D004,QLD,LEXUS,COMPACT,White,Mar,AS8,Z,6,3.5,244
D002,VIC,PORSCHE,TWO-SEATER,Silver,Apr,AM7,Z,6,4,324
D026,NSW,JEEP,SUV - SMALL,Black,Jun,M6,X,4,1.4,211
D046,WA,AUDI,COMPACT,Silver,Feb,M6,Z,4,2,214
D012,SA,BMW,SUV - STANDARD,Grey,Feb,AS8,Z,8,4.4,343
D017,VIC,MINI,COMPACT,Black,Aug,AS6,Z,4,1.6,212
D030,QLD,FORD,FULL-SIZE,Black,Jul,AS6,X,4,2,238
D015,VIC,LINCOLN,SUV - STANDARD,Silver,Dec,AS10,X,6,3.5,315
D054,QLD,RAM,SPECIAL PURPOSE VEHICLE,White,May,A9,X,4,2.4,174
D030,Unknown,INFINITI,SUBCOMPACT,White,Sep,AS7,Z,6,3.7,265
D052,NSW,DODGE,FULL-SIZE,Silver,Apr,A8,Z,8,6.25,304
D037,NSW,GMC,PICKUP TRUCK - STANDARD,Grey,Apr,A10,Z,8,6.2,326
D053,WA,MERCEDES-BENZ,SUV - STANDARD,Silver,Jul,A9,Z,8,4,378
D015,VIC,MAZDA,COMPACT,Yellow,Dec,AS6,X,4,2.5,168
D011,VIC,TOYOTA,MID-SIZE,Yellow,Jan,AS8,X,4,2.5,164
D054,QLD,JEEP,SUV - SMALL,Black,Sep,M6,X,4,1.4,202
D032,TAS,JAGUAR,FULL-SIZE,Blue,Aug,AS8,Z,6,3,213.75
D005,NSW,MERCEDES-BENZ,SPECIAL PURPOSE VEHICLE,Blue,Sep,A7,Z,4,2,268
D015,VIC,RAM,PICKUP TRUCK - STANDARD,White,Sep,A6,X,8,5.7,362
D030,QLD,CHEVROLET,SUV - SMALL,Silver,Dec,AS6,X,4,1.4,200
D047,VIC,MERCEDES-BENZ,SUBCOMPACT,White,Feb,A9,Z,8,4,282
D037,Unknown,HYUNDAI,SUV - SMALL,Silver,Mar,AM7,X,4,1.6,201
D017,VIC,PORSCHE,FULL-SIZE,Grey,Mar,AM7,Z,6,3.6,255
D004,QLD,TOYOTA,MID-SIZE,Blue,Jan,AV,X,4,2.5,134
D038,VIC,FIAT,MINICOMPACT,White,Mar,M5,X,4,1.4,166
D021,QLD,KIA,MINIVAN,White,Nov,AS6,X,6,3.3,296
D002,VIC,NISSAN,TWO-SEATER,Grey,Sep,AS7,Z,6,3.7,261
D033,VIC,FORD,COMPACT,Grey,Aug,AS6,X,12,1,176
D008,WA,LINCOLN,SUV - SMALL,Black,May,AS6,X,4,2,254
D008,WA,AUDI,MID-SIZE,White,Oct,AM7,Z,6,3,224
D013,QLD,FORD,FULL-SIZE,Black,Jul,AV,X,4,2,138
D060,NSW,LINCOLN,MID-SIZE,Red,Nov,AV,X,6,2,139
D034,VIC,KIA,SUV - SMALL,Silver,Aug,,X,4,2.4,247
D015,VIC,RAM,MINIVAN,Red,Mar,A6,E,6,3.6,254
D056,WA,HYUNDAI,SUV - SMALL,Red,Nov,AS6,X,4,2,266
D042,WA,NISSAN,PICKUP TRUCK - SMALL,Red,Nov,M6,X,6,4,306
D014,WA,JEEP,SUV - SMALL,,Aug,AV,X,4,2,234
D019,WA,ASTON MARTIN,TWO-SEATER,Grey,Apr,AM7,Z,8,4.7,338
D052,NSW,CHEVROLET,SUBCOMPACT,Silver,Sep,M6,X,6,3.6,280
D008,WA,DODGE,MID-SIZE,Red,May,A6,X,4,2.4,198
D037,NSW,NISSAN,TWO-SEATER,Silver,Mar,M6,Z,6,3.7,279
D048,NSW,NISSAN,MID-SIZE,White,Jul,M6,X,4,1.8,187
D045,WA,BMW,COMPACT,Black,Sep,,Z,4,2,193
D060,NSW,LAND ROVER,SUV - STANDARD,Black,Apr,AS8,Z,,5,305
D013,QLD,VOLVO,SUV - SMALL,White,May,AS8,X,4,2,210
D049,QLD,CHEVROLET,PICKUP TRUCK - STANDARD,Orange,Feb,A6,X,6,,280
D033,VIC,LEXUS,COMPACT,Grey,Apr,AS6,Z,6,3.5,258
D018,NSW,CHEVROLET,SUV - STANDARD,Green,Aug,A6,E,8,5.3,306
D035,VIC,FORD,MID-SIZE,Black,Jan,AS6,X,4,2,216
D026,NSW,BMW,COMPACT,White,Aug,AS8,Z,8,4.4,294
D006,TAS,HYUNDAI,SUV - SMALL,Black,Mar,AS6,X,,2.4,235
D015,VIC,JAGUAR,TWO-SEATER,Brown,Sep,M6,Z,6,3,302
D060,NSW,MINI,SUBCOMPACT,Black,May,AS6,Z,3,1.5,184
D042,WA,FIAT,MINICOMPACT,,Nov,M5,X,4,1.4,186
D042,WA,MAZDA,COMPACT,Silver,Mar,AS6,X,4,2.5,192
D059,NSW,FORD,SUBCOMPACT,Grey,Apr,AS6,X,8,5,219
D015,VIC,BMW,STATION WAGON - SMALL,Red,Jun,AS8,Z,4,2,209
D009,NSW,TOYOTA,COMPACT,White,Jul,M6,X,4,2,174
D024,SA,LAND ROVER,SUV - STANDARD,White,Aug,AS8,Z,8,5,365
D016,NSW,TOYOTA,MINIVAN,Red,Jul,AS8,X,6,3.5,255
D060,NSW,VOLKSWAGEN,COMPACT,White,May,AS6,X,4,2,189
D041,Unknown,VOLKSWAGEN,COMPACT,Black,Mar,M6,Z,4,2,220
D053,WA,DODGE,FULL-SIZE,White,Oct,A8,X,6,3.6,258
D026,NSW,CHEVROLET,VAN - PASSENGER,Silver,Oct,A6,X,8,6,410.5
D051,NSW,ACURA,MID-SIZE,White,Mar,AM7,Z,6,3.5,196
D015,VIC,SUBARU,SUV - SMALL,Black,Sep,AV6,X,6,3.6,242
D018,NSW,PORSCHE,MINICOMPACT,Silver,Jun,AM7,Z,6,3,228
D022,VIC,CHEVROLET,STATION WAGON - SMALL,Grey,Apr,M6,X,4,1.4,175
D022,VIC,PORSCHE,MINICOMPACT,Black,Dec,AM7,Z,6,3.8,285
D052,NSW,CHEVROLET,PICKUP TRUCK - STANDARD,Black,Jun,A10,Z,8,6.2,321
D026,NSW,FORD,SUV - STANDARD,Black,Nov,AS6,E,6,3.5,264
D035,VIC,TOYOTA,COMPACT,White,May,A4,X,4,1.5,170
D015,VIC,FORD,PICKUP TRUCK - STANDARD,Black,Dec,A6,X,8,5,343
D012,SA,FORD,SUV - STANDARD,Silver,Feb,AS6,X,4,2.3,254
D026,NSW,VOLKSWAGEN,COMPACT,Red,Jul,M6,Z,4,2,225
D058,VIC,FORD,PICKUP TRUCK - STANDARD,Grey,Jul,AS10,X,8,5,304
D002,VIC,KIA,FULL-SIZE,Blue,Aug,AS8,X,6,3.8,279
D027,VIC,CHRYSLER,FULL-SIZE,Blue,Aug,A8,X,6,3.6,258
D051,NSW,HONDA,SUV - SMALL,Red,Aug,AS9,X,6,3.5,410.5
D038,VIC,HYUNDAI,FULL-SIZE,Black,Sep,M6,X,4,2,207
D025,WA,PORSCHE,FULL-SIZE,Blue,Mar,AM7,Z,6,3.6,255
D021,QLD,ACURA,SUV - SMALL,Black,Sep,AS6,Z,6,3.5,249
D025,WA,TOYOTA,PICKUP TRUCK - STANDARD,Silver,Sep,,X,8,5.7,356
D021,QLD,FORD,PICKUP TRUCK - STANDARD,White,Nov,AS10,E,8,5,300
D022,VIC,ROLLS-ROYCE,COMPACT,Brown,May,A8,Z,12,6.25,393
D029,NSW,NISSAN,SUV - STANDARD,Silver,Jan,AS7,X,8,5.6,362
D053,WA,LINCOLN,SUV - STANDARD,White,Nov,A6,E,8,5.4,346
D049,QLD,INFINITI,SUBCOMPACT,Red,Aug,AS7,Z,6,3.7,255
D003,WA,FORD,SUV - SMALL,Green,Sep,AV,X,4,2.5,139
D036,NSW,KIA,MID-SIZE,Black,Feb,AS6,X,4,2,132
D005,NSW,FORD,SUV - SMALL,Silver,Oct,AS6,X,6,,406.5
D001,WA,LAND ROVER,SUV - STANDARD,Silver,Sep,AS8,E,8,5,331
D018,NSW,AUDI,MID-SIZE,Yellow,May,AS8,D,6,3,224
D001,WA,TOYOTA,COMPACT,,Oct,A4,X,4,1.5,168
D026,NSW,AUDI,SUV - STANDARD,Blue,Nov,AS8,D,6,3,290
D029,NSW,GMC,PICKUP TRUCK - STANDARD,Yellow,Oct,A6,X,8,5.3,298
D019,WA,JAGUAR,TWO-SEATER,White,Dec,AS8,Z,6,3,265
D013,QLD,SUBARU,SUV - SMALL,Silver,Dec,M6,X,4,2.5,225
D010,VIC,RAM,SPECIAL PURPOSE VEHICLE,Yellow,Nov,A9,X,4,2.4,232
D004,QLD,HYUNDAI,FULL-SIZE,Grey,Apr,M6,X,4,1.6,226
D004,QLD,ACURA,COMPACT,,Mar,,Z,6,3.5,228
D011,VIC,CHRYSLER,MID-SIZE,White,Feb,A9,X,6,3.6,250
D017,VIC,MAZDA,COMPACT,White,Dec,AS6,X,4,2.5,182
D043,QLD,CHEVROLET,MID-SIZE,Silver,Nov,M6,X,4,1.4,175
D034,VIC,NISSAN,PICKUP TRUCK - SMALL,Green,Jan,A5,X,4,2.5,290
D056,WA,LAND ROVER,SUV - STANDARD,Black,Jul,AS8,Z,6,3,291
D016,NSW,JEEP,SUV - STANDARD,Red,May,A8,X,6,3.6,278
D010,VIC,AUDI,MID-SIZE,Grey,Apr,AS8,Z,,2.9,268
D005,NSW,FIAT,MINICOMPACT,Silver,May,,X,4,1.4,160
D014,WA,MERCEDES-BENZ,SUV - STANDARD,White,Jun,A9,Z,8,4.7,355
D003,WA,AUDI,MID-SIZE,Yellow,Jul,AS8,Z,4,2,235
D006,TAS,MAZDA,TWO-SEATER,Grey,Sep,AS6,Z,4,2,186
D042,WA,AUDI,MID-SIZE,Black,Oct,AS8,Z,8,4,300
D032,TAS,VOLKSWAGEN,COMPACT,Silver,Jan,M6,D,,2,196
D050,NSW,MERCEDES-BENZ,SUV - SMALL,White,Aug,AS7,Z,4,2,203
D043,QLD,MERCEDES-BENZ,SUV - SMALL,Silver,May,,Z,4,2,209
D048,NSW,MASERATI,MID-SIZE,Red,Sep,AS8,Z,6,3,295
D009,NSW,FORD,SUV - SMALL,Green,May,AS6,X,4,2.5,218
D057,VIC,CHEVROLET,VAN - PASSENGER,White,Jul,A6,X,8,6,410.5
D018,NSW,FORD,SUBCOMPACT,White,May,M6,X,8,5,300
D020,QLD,CHEVROLET,PICKUP TRUCK - STANDARD,Silver,Nov,A8,X,4,2.7,261
D060,NSW,FORD,PICKUP TRUCK - STANDARD,Red,Apr,AS6,E,8,5,291
D026,NSW,CHEVROLET,SUV - STANDARD,Black,May,A6,X,8,5.3,305
D038,VIC,CHEVROLET,SUV - SMALL,White,Oct,A6,X,6,3.6,285
D054,QLD,BMW,COMPACT,Red,Sep,AS8,Z,8,4.4,294
D023,TAS,CHEVROLET,MID-SIZE,Grey,Feb,A6,X,6,1.4,181
D009,NSW,SUBARU,SUV - SMALL,Black,Apr,AV,X,4,2,177
D010,VIC,GMC,SUV - SMALL,Grey,Feb,A9,X,,1.5,210
D034,VIC,TOYOTA,PICKUP TRUCK - STANDARD,Silver,Oct,AS6,X,8,5.7,350
D003,WA,DODGE,MID-SIZE,Silver,Jun,A8,X,6,3.6,258
D009,NSW,VOLVO,COMPACT,White,Feb,AS8,Z,4,2,385.6
D008,WA,MERCEDES-BENZ,TWO-SEATER,White,Apr,AS7,Z,8,5.5,298
D053,WA,MERCEDES-BENZ,TWO-SEATER,White,Jul,AS7,Z,4,1.8,207
D031,QLD,NISSAN,PICKUP TRUCK - SMALL,Silver,Nov,A5,X,6,4,326
D005,NSW,VOLVO,STATION WAGON - SMALL,White,Aug,AS6,X,6,3,253
D057,VIC,CHEVROLET,PICKUP TRUCK - STANDARD,,Dec,A8,X,8,5.3,324
D041,VIC,BMW,SUBCOMPACT,Red,Oct,M6,Z,6,3,260
D023,TAS,CHEVROLET,SUV - STANDARD,Silver,Nov,A6,X,8,5.3,304
D020,QLD,MERCEDES-BENZ,TWO-SEATER,Black,Mar,A9,Z,6,3,238
D033,VIC,VOLVO,SUV - SMALL,Blue,Jul,AS8,X,4,2,233
D046,WA,CHEVROLET,SUV - STANDARD,Black,Nov,A6,E,8,5.3,299
D017,VIC,NISSAN,SUV - SMALL,Grey,Nov,AV,X,4,2.5,194
D025,WA,CHEVROLET,COMPACT,White,Jun,M6,X,4,1.4,184
D033,VIC,ASTON MARTIN,TWO-SEATER,Grey,Feb,AM7,Z,8,4.7,343
D038,VIC,FORD,SUBCOMPACT,White,Nov,AS10,X,4,2.3,236
D022,VIC,HONDA,TWO-SEATER,Blue,Dec,M6,X,4,1.5,159
D057,VIC,LINCOLN,SUV - STANDARD,Silver,Feb,AS6,X,6,3.5,294
D052,NSW,HYUNDAI,MID-SIZE,Black,Jul,AM6,X,4,2,136
D029,NSW,FORD,MID-SIZE,Green,Aug,AV,X,4,2,131
D009,NSW,JEEP,SUV - SMALL,White,Sep,M5,X,4,2,216
D054,QLD,VOLKSWAGEN,COMPACT,Unknown,Aug,AM7,Z,4,2,220
D043,QLD,PORSCHE,FULL-SIZE,Blue,Feb,AM7,Z,6,3,264
D060,NSW,DODGE,MID-SIZE,White,Mar,A8,Z,8,6.2,339
D037,NSW,LEXUS,MID-SIZE,White,Apr,AS10,Z,6,,259
D039,NSW,ROLLS-ROYCE,COMPACT,Black,Feb,AS8,Z,12,6.25,396
D031,QLD,VOLKSWAGEN,SUV - SMALL,Blue,Feb,AS8,X,4,2,229
D044,NSW,LINCOLN,SPECIAL PURPOSE VEHICLE,Blue,May,,X,6,3.7,298
D021,QLD,BMW,FULL-SIZE,Silver,Jun,AS8,Z,6,3,263
D030,QLD,HONDA,SUV - SMALL,White,Mar,A6,X,6,3.5,266
D034,VIC,LAND ROVER,SUV - STANDARD,Black,Oct,AS8,Z,6,3,334
D012,SA,JEEP,SUV - SMALL,White,Feb,A9,X,4,2,240
D010,VIC,LINCOLN,SUV - SMALL,Silver,Feb,AS6,X,4,2,254
D053,WA,PORSCHE,MINICOMPACT,Grey,Apr,M7,Z,6,3,246
D012,SA,TOYOTA,MINIVAN,,Oct,AS8,X,6,3.5,254
D056,WA,MINI,COMPACT,Silver,Jan,M6,Z,4,1.6,172
D008,WA,DODGE,MID-SIZE,Green,Oct,A5,X,6,3.6,258
D035,VIC,DODGE,FULL-SIZE,Black,Jul,A8,X,6,3.6,237
D002,VIC,ALFA ROMEO,MID-SIZE,White,Nov,A8,Z,4,2,205
D042,WA,FORD,PICKUP TRUCK - STANDARD,Unknown,Jul,AS10,X,4,2.3,256
D010,VIC,CADILLAC,SUV - SMALL,Blue,Nov,AS8,X,6,3,260
D022,VIC,HONDA,MID-SIZE,Grey,Nov,AV,X,4,1.5,157
D018,NSW,ALFA ROMEO,MID-SIZE,Black,May,A8,Z,6,2.9,280
D048,NSW,FORD,PICKUP TRUCK - STANDARD,Blue,Jan,AS10,D,6,3,266
D058,VIC,LAND ROVER,SUV - STANDARD,Red,May,AS8,E,6,3,277
D043,QLD,BMW,COMPACT,Unknown,Oct,AS8,Z,4,2,197
D022,VIC,INFINITI,COMPACT,White,Jun,AS7,Z,,3.5,200
D044,NSW,KIA,SUV - SMALL,,Apr,AS6,X,4,2,259
D048,NSW,LEXUS,MID-SIZE,Black,Jul,AS8,Z,8,4.6,303
D016,NSW,CHEVROLET,SUV - STANDARD,Black,Apr,A6,E,8,3,321
D051,NSW,CHEVROLET,PICKUP TRUCK - STANDARD,Black,Nov,,E,8,5.3,270
D054,QLD,MERCEDES-BENZ,TWO-SEATER,Grey,Aug,AS7,Z,8,6.25,361
D059,NSW,CHEVROLET,MID-SIZE,Black,Nov,M5,X,4,1.8,184
D045,WA,TOYOTA,COMPACT,Black,Jan,M5,X,4,1.5,163
D027,VIC,GMC,PICKUP TRUCK - SMALL,Blue,Jun,A6,X,4,2.5,252
D046,WA,TOYOTA,MID-SIZE,Black,Jun,A4,X,4,1.8,177
D035,VIC,MINI,SUBCOMPACT,Black,Dec,,Z,4,1.6,184
D056,WA,GENESIS,COMPACT,Grey,Apr,M6,Z,4,2,255
D056,Unknown,TOYOTA,MID-SIZE,Grey,Dec,AV,X,4,1.8,159
D045,Unknown,CHEVROLET,MID-SIZE,Black,Mar,AS6,X,4,1.4,191
D032,TAS,HYUNDAI,SUBCOMPACT,Grey,Apr,M6,Z,6,3.8,285
D019,WA,PORSCHE,TWO-SEATER,Red,Feb,M6,Z,6,3.4,239
D045,WA,KIA,MID-SIZE,Green,Nov,AS8,Z,6,3.3,279
D051,NSW,LAMBORGHINI,TWO-SEATER,Black,Sep,AM7,Z,10,5.2,334
D053,WA,NISSAN,TWO-SEATER,Black,Apr,AS7,Z,6,3.7,261
D006,TAS,FORD,PICKUP TRUCK - STANDARD,White,Apr,AS10,X,8,5,292
D040,QLD,CHEVROLET,SUBCOMPACT,Blue,Aug,AS10,Z,8,6.2,279
D042,WA,BMW,SUBCOMPACT,Unknown,Jun,M6,Z,6,3,280
D021,QLD,SUBARU,MID-SIZE,Red,Mar,AV6,X,4,2.5,182
D026,NSW,INFINITI,MID-SIZE,Silver,Apr,AS7,Z,6,3.7,237
D050,NSW,LAMBORGHINI,TWO-SEATER,Grey,Apr,AM7,Z,10,5.2,370
D039,NSW,VOLKSWAGEN,MID-SIZE,Blue,Jun,AS6,X,4,2,188
D014,WA,JEEP,SUV - SMALL,Silver,Feb,A9,X,4,1.3,230
D033,VIC,MASERATI,SUBCOMPACT,Grey,Aug,AS6,Z,8,4.7,350
D059,NSW,NISSAN,MID-SIZE,White,Apr,M6,Z,,1.6,204
D009,NSW,FORD,COMPACT,Silver,Jul,M5,X,4,2,188
D028,NSW,AUDI,SUBCOMPACT,Blue,Jan,AM7,X,4,2,188
D046,WA,MERCEDES-BENZ,FULL-SIZE,Grey,Oct,AS7,Z,12,6,359
D024,SA,CHEVROLET,SUBCOMPACT,White,Jun,AV,X,4,1.2,161
D013,QLD,MERCEDES-BENZ,SUV - STANDARD,Silver,Apr,AS7,Z,8,5.5,359
D027,VIC,PORSCHE,TWO-SEATER,Black,Oct,M6,Z,4,2.5,249
D023,TAS,TOYOTA,MID-SIZE,Black,Jan,AS6,X,6,3.5,226
D018,NSW,TOYOTA,MID-SIZE,Red,Mar,AS6,X,4,2.5,193
D058,VIC,LEXUS,MID-SIZE,Red,Jan,AV10,Z,6,3.5,214
D011,VIC,HYUNDAI,FULL-SIZE,White,Nov,AS6,X,4,3,200
D006,TAS,AUDI,SUV - SMALL,Red,Apr,AS8,Z,6,3,267
D053,WA,FORD,FULL-SIZE,Black,Oct,AS6,E,6,3.5,235
D012,SA,BENTLEY,SUV - STANDARD,Brown,Jun,AS8,Z,12,6,401
D046,WA,NISSAN,MID-SIZE,Brown,Jun,AV,X,4,2.5,186
D039,NSW,HONDA,MID-SIZE,Grey,Jun,AV,X,4,2,163
D025,WA,JEEP,SUV - SMALL,Silver,Nov,,E,4,2.4,213
D032,TAS,FORD,SUV - STANDARD,Yellow,Sep,AS6,X,6,3.5,288
D009,NSW,MAZDA,COMPACT,Grey,Dec,M6,X,4,2,165
D044,NSW,FORD,PICKUP TRUCK - STANDARD,Silver,Jun,AS6,X,6,3.3,274
D004,QLD,AUDI,COMPACT,Silver,Oct,AM7,Z,4,2,203
D056,WA,TOYOTA,PICKUP TRUCK - STANDARD,White,Aug,AS6,X,8,4.6,334
D004,QLD,AUDI,MID-SIZE,Green,Sep,AS8,Z,6,3,262
D036,NSW,CHRYSLER,FULL-SIZE,Silver,Oct,A8,X,6,3.6,258
D058,VIC,CHEVROLET,VAN - PASSENGER,Grey,Jul,A6,X,8,6,410.5
D059,NSW,VOLKSWAGEN,COMPACT,White,Feb,AM6,Z,4,2,214
D054,QLD,BMW,MID-SIZE,White,Oct,AS8,Z,4,2,206
D028,NSW,AUDI,SUBCOMPACT,Black,May,AM6,Z,4,1.8,200
D046,WA,MERCEDES-BENZ,SUV - SMALL,Silver,Jun,A9,Z,4,2,240
D038,VIC,BMW,COMPACT,Yellow,Feb,AM7,Z,8,4.4,338
D032,TAS,MINI,SUBCOMPACT,White,May,AS6,Z,3,1.5,184
D023,TAS,HYUNDAI,MID-SIZE,Black,Jan,AM6,X,4,,135
D020,QLD,VOLKSWAGEN,COMPACT,Red,Sep,M6,X,4,1.4,163
D046,WA,BMW,SUV - STANDARD,White,Oct,AS8,Z,6,4.4,341
D031,QLD,HYUNDAI,COMPACT,Silver,Oct,M6,X,4,1.6,197
D046,WA,HONDA,SUV - SMALL,White,May,A6,X,6,3.5,253
D018,NSW,RAM,PICKUP TRUCK - STANDARD,Grey,Jan,A8,X,6,3.6,253
D046,WA,GMC,SUV - STANDARD,Brown,May,A6,X,8,5.3,299
D024,SA,KIA,FULL-SIZE,White,Aug,AS8,X,12,3.8,279
D049,QLD,PORSCHE,MINICOMPACT,Grey,Apr,AM7,Z,6,3.8,260
D015,VIC,JEEP,SUV - SMALL,White,Dec,A5,X,6,3.6,294
D006,TAS,BENTLEY,MID-SIZE,Green,Apr,AS8,Z,8,6.25,410.5
D031,QLD,CHEVROLET,PICKUP TRUCK - STANDARD,Black,Jun,A8,Z,8,6.2,322
D010,VIC,DODGE,MID-SIZE,Black,Jul,A6,X,4,2.4,198
D009,NSW,PORSCHE,TWO-SEATER,Silver,Nov,M6,Z,6,3.4,250
D044,NSW,NISSAN,SUV - SMALL,White,Sep,AV,X,6,3.5,239
D009,NSW,RAM,PICKUP TRUCK - STANDARD,Silver,Oct,A8,X,6,3.6,294
